epoch train_loss test_loss  accuracy
2.2952127812354584  2.1400435952407824 0.169
2.299931157414005  2.1917140110810296 0.2003
2.315684248232768  2.1476710440863065 0.1968
2.3423218620154276  2.0956336105073636 0.1992
2.3721744971515677  2.0914870711471245 0.194
2.273001067451675  2.107483099643524 0.2058
2.12026231284377  2.1561782894091133 0.2038
2.232240921452784  2.16019063568168 0.2091
2.196866077872656  2.185380035729006 0.1204
2.213759870421463  2.2094814430307252 0.1229
2.209621449664939  2.1904481032666663 0.1232
2.1845322349930556  2.1469618237965884 0.1205
2.1474924641212545  2.066259046724649 0.2111
2.1682307573387845  2.092159758156152 0.2107
2.16952640555294  2.081377365873726 0.2113
2.159174421516949  2.0949633812793267 0.2123
2.185542035540212  2.1520688485536557 0.1275
2.1720692594342874  2.134400826900769 0.1203
2.166410657035548  2.0791219215818377 0.2123
2.1615054762537103  2.1433135221751343 0.1335
2.16358555387348  2.1128018750207676 0.1309
2.1183846485746987  2.125595241493285 0.1299
2.1258068270901656  2.123826695247961 0.1342
2.159790112426892  2.107454249709073 0.1241
2.172700061381676  2.1306680726470595 0.124
2.2750930782169214  2.1414553565191783 0.1324
2.166105533495641  2.1304846573432 0.1323
2.1642040825863513  2.1353282528505724 0.1316
2.172978269446234  2.1161137367827494 0.1322
2.1542354896391704  2.0891423754724374 0.211
2.1744484802533077  2.1282519256931263 0.1293
2.1604054867123113  2.1135973744225027 0.1273
2.148896049340925  2.1143525499037157 0.1403
2.1579791427074237  2.0920265376850975 0.1372
2.159421261128049  2.0917108513300127 0.1351
2.154509791219802  2.083229113294656 0.1351
2.1574387088950124  2.090237461986273 0.1358
2.169976513615318  2.1149468378518126 0.129
2.1667913735950197  2.0898754554485883 0.1359
2.1565580170482592  2.0811714073151686 0.1362
2.161508199472129  2.0748437363900756 0.138
2.153559746161774  2.081829299186737 0.1343
2.159756650724455  2.079517382818355 0.1367
2.1599703107563673  2.077488776066666 0.1355
2.1534208789318687  2.066198900620456 0.1364
2.154739810429081  2.070536389907852 0.1381
2.1507983866343676  2.0635834245031703 0.1365
2.1531866053875595  2.0658472340239316 0.1365
2.1541052764756277  2.0670219749351 0.1357
2.1534121620090745  2.0613128075671883 0.1354
2.1555244035940184  2.0608732301591703 0.1354
2.1508830548534212  2.060689288601441 0.136
2.151027105737754  2.064668187954197 0.1348
2.150519605950683  2.063029513175654 0.135
2.154495679309592  2.061469988444035 0.1366
2.154427545207939  2.060537762816659 0.1354
2.155817417634887  2.065947668210535 0.1382
2.1541749045463217  2.061040483034151 0.1373
2.1539468465755376  2.0622134359762327 0.137
2.1523223341765125  2.063129708896582 0.136
2.156537125228435  2.0602270435828958 0.138
2.1610525996529213  2.0673119848362504 0.1367
2.1524425959449696  2.0617495284894596 0.1358
2.1536788742250823  2.062849106168629 0.1359
2.15404188975274  2.060113222148178 0.1385
2.1509251692140303  2.056476933430945 0.1383
2.1513944100172195  2.0557322982116464 0.1324
2.1530918632642417  2.0611609364157784 0.1366
2.1553121522921086  2.0649546233845864 0.1314
2.156549469502464  2.059729282689166 0.1403
2.161212517948874  2.065168358121362 0.1372
2.1524646131638474  2.0591841742909085 0.1378
2.2938327287886024  2.0643357506626097 0.1414
2.1348166390940917  2.057272665495547 0.1424
2.153694430631259  2.0620091013191377 0.1411
2.1539631017378187  2.0878727591312494 0.2113
2.153872418488153  2.1007348998250746 0.2105
2.3971620446975126  2.034246023416511 0.153
2.467949157365576  2.1107079980462444 0.2122
2.348657027362192  2.0422055051762853 0.1545
2.274776658792481  2.0438973313360282 0.1487
2.279867374729659  2.0435505445264335 0.1498
2.1418435221616217  2.09374032586199 0.2101
2.1379405754164207  2.035867281430246 0.1539
2.1209564740475098  2.039445353918246 0.1552
2.178033956116865  2.1007297978854576 0.2101
2.2472162967650653  2.0478964134555264 0.1552
2.138155875169955  2.1103767103391524 0.2041
2.105080206890174  2.030812082934101 0.1628
2.153129140307714  2.106407943613659 0.2108
2.1361003096427367  2.0379030488178826 0.1626
2.187563884624383  2.1051534143041057 0.2096
2.1451348900913336  2.039497507240799 0.165
2.1781894466323988  2.110686741653574 0.2102
2.1299600244696713  2.0342819001852845 0.1655
2.1909830189648143  2.0912832062618203 0.2084
2.135117913435105  2.0330929505766115 0.1674
2.174663839194936  2.086622574177253 0.2088
2.172819749083363  2.030703227315151 0.1717
2.2185347757164133  2.096321959490279 0.209
