epoch train_loss test_loss  accuracy
2.213767170318041  2.155346568265542 0.1298
2.1291039408194172  2.0671922526507327 0.1968
2.08186178262238  2.0270628563033837 0.2089
2.051391975232281  2.002883859143203 0.2167
2.029269154770826  1.9857724128307706 0.2225
2.0122776863244396  1.9725687026939807 0.2257
1.9978859624475553  1.9616508375368655 0.2276
1.9857945264180679  1.9522756762594429 0.2276
1.9753492814600042  1.944025193574767 0.2279
1.965603686212729  1.9365988308643374 0.2277
1.956898808444375  1.9297975564520486 0.2287
1.9488431567649986  1.9235556455527811 0.2287
1.9416496473163443  1.9177169727858687 0.2293
1.9348405659709866  1.9122399440722733 0.2315
1.9284213737027516  1.90708134954627 0.2325
1.9221744674334067  1.9021748950481647 0.2333
1.9161954362701161  1.8975257198975342 0.2335
1.9105907946680407  1.8930792517813442 0.2337
1.9053718429724917  1.8888636565971388 0.2345
1.9003428630468857  1.8848046207401465 0.2341
1.8954418620049989  1.8809175253077655 0.234
1.890736580821006  1.8771713223961146 0.2344
1.886165633283966  1.873546281099718 0.235
1.8817460915730229  1.8700498888081187 0.2357
1.8775188087624002  1.8666545736664186 0.2367
1.8732903005637365  1.8633522831137515 0.2372
1.8692642586951405  1.8601831455952735 0.2387
1.8654010351763717  1.8570970007827157 0.2386
1.8613896696089078  1.8541139751215028 0.2402
1.8575343612339286  1.851199992133443 0.2406
1.8536164895938778  1.8483596515773473 0.2407
1.8498623350619  1.8455805104928136 0.2406
1.846170228771556  1.8428667980118298 0.2419
1.8425529559970044  1.8402224746886238 0.2417
1.8390014943163457  1.8376415822989198 0.242
1.83541359331784  1.8351159516211923 0.2421
1.831896670421892  1.832664611969218 0.2435
1.8284431632521538  1.8302636914250165 0.2444
1.8250346684590395  1.8279063593745613 0.2448
1.8216682129642203  1.8255853476575599 0.2454
1.8183662622534442  1.8232994530050364 0.2465
1.8152291707209665  1.8210511215848744 0.2467
1.8120178787091046  1.818854259035169 0.2471
1.8088019182338133  1.8166887406717553 0.2483
1.8055610277672074  1.814567231723459 0.2484
1.8022970865509904  1.8124936913809986 0.2489
1.7992194209543388  1.8104448046663641 0.2502
1.796152389162457  1.8084474021485322 0.2506
1.793132665356935  1.8064597900874497 0.2512
1.7900677941130425  1.8044737567477787 0.2516
1.7870258960907865  1.80251616199315 0.2522
1.7840503830004313  1.8005912103026116 0.2533
1.7812805475630091  1.7987038763027792 0.2539
1.7784330274783582  1.7968358293460784 0.255
1.775716523279882  1.7949760269876722 0.2553
1.7729547541096864  1.7931487845946519 0.2555
1.770313355615131  1.7913219263197584 0.2561
1.7676688039828379  1.789514793535041 0.2569
1.7652041243865308  1.7877213310271503 0.257
1.7626588412121642  1.7859573990449258 0.2579
1.7603240574620493  1.7842261470143619 0.2579
1.7578922745424075  1.7825060375359212 0.2583
1.7554300617123335  1.7808058709263275 0.2584
1.7529637664372786  1.779136265176083 0.2584
1.7506496002336183  1.7774876506444532 0.2583
1.7482940848445532  1.7758447567559807 0.2588
1.7460163815141019  1.7742196793672345 0.2589
1.7439474215488324  1.772618405498819 0.2597
1.7417667256934062  1.7710292176502327 0.2601
1.7395840140877876  1.7694452453099752 0.2608
1.7376092772227008  1.7678814223393615 0.2616
1.735623112740587  1.7663236747858315 0.2626
1.7334697093824456  1.7647794786458972 0.2631
1.7314495869358328  1.7632423830372743 0.2641
1.7294988721651994  1.761722043710517 0.2648
1.7276706385633342  1.7602188673643089 0.2645
1.7258554176761145  1.758738074544257 0.2652
1.7240640571615877  1.7572653135003806 0.2652
1.722301927863204  1.7558004547665689 0.2661
1.7206713624269654  1.7543606724634104 0.2662
1.7190326767517565  1.7529229274796956 0.2671
1.7173671524166172  1.7514737412844785 0.2679
1.7156040548527007  1.7500238958973837 0.2685
1.7139962988594182  1.7485887839461578 0.2688
1.712499709983036  1.7471569764017065 0.2691
1.7110914548407694  1.7457480849752658 0.2693
1.7095957775055732  1.744333214116035 0.2702
1.7081760061968978  1.7429303556974596 0.2707
1.70689120837553  1.7415327967288314 0.2708
1.7055843115141576  1.7401451999874837 0.2714
1.7043005143096626  1.738767361849441 0.2721
1.7029996786817179  1.7374013460130595 0.2727
1.7018174805608222  1.7360426693708622 0.2728
1.7006490989787555  1.7346853394832782 0.273
1.699492929967305  1.7333377125383802 0.2739
1.6984470603618618  1.7320082358760942 0.2744
1.6973484843474462  1.7306809155817275 0.275
1.6963631633051162  1.7293591534335693 0.2752
1.695304792813501  1.7280422287895487 0.2755
1.6943442811084832  1.7267399699421917 0.2757
1.6932727716461038  1.7254466020548367 0.276
1.692360571275686  1.7241715043495114 0.2761
1.6915469202639002  1.7229039909434822 0.2764
