epoch train_loss test_loss  accuracy
1.5036635398864746  122.61056303977966 0.9189000129699707
1.471725583076477  120.58087909221649 0.9380000233650208
1.462009310722351  120.0720888376236 0.9434000253677368
1.4617081880569458  119.24923264980316 0.9541000127792358
1.4614508152008057  119.22730827331543 0.9541000127792358
1.4613065719604492  119.21169316768646 0.9538999795913696
1.4614025354385376  119.06287515163422 0.9567999839782715
1.461215615272522  118.82172751426697 0.9588000178337097
1.4612234830856323  118.93896400928497 0.9560999870300293
1.4614566564559937  118.90773558616638 0.9577000141143799
1.4618911743164062  119.00865387916565 0.9562000036239624
1.4611629247665405  118.74426472187042 0.9598000049591064
1.4611726999282837  118.60507571697235 0.9613000154495239
1.4650342464447021  118.83701717853546 0.9587000012397766
1.4615740776062012  118.71076798439026 0.9593999981880188
1.4611563682556152  118.51358735561371 0.9624999761581421
1.4611557722091675  118.60586261749268 0.9613999724388123
1.4611626863479614  118.46385836601257 0.961899995803833
1.46116042137146  118.36801254749298 0.9628999829292297
1.4611536264419556  118.51310753822327 0.9614999890327454
1.4611672163009644  118.65017807483673 0.9593999981880188
1.4611525535583496  118.36258232593536 0.9629999995231628
1.4611650705337524  118.4358777999878 0.9624999761581421
1.4611831903457642  118.5176055431366 0.9609000086784363
1.461153268814087  118.4215075969696 0.9621000289916992
1.461168646812439  118.33350896835327 0.9642999768257141
1.4611551761627197  118.6081030368805 0.960099995136261
1.4611725807189941  118.2820885181427 0.9635999798774719
1.4611786603927612  118.3392264842987 0.9631999731063843
1.4611774682998657  118.35777926445007 0.9635999798774719
1.4614580869674683  118.66706836223602 0.9595000147819519
1.461153268814087  118.45673823356628 0.9621000289916992
1.4611506462097168  118.27079498767853 0.963699996471405
1.4611533880233765  118.24526059627533 0.9645000100135803
1.4611594676971436  118.43159079551697 0.9620000123977661
1.4611519575119019  118.31483137607574 0.9628999829292297
1.4612135887145996  118.23852562904358 0.9641000032424927
1.4675489664077759  118.46824312210083 0.9617000222206116
1.4615657329559326  118.24370670318604 0.9646000266075134
1.4700907468795776  118.37849581241608 0.9628000259399414
1.4611939191818237  118.23206412792206 0.9646999835968018
1.4611685276031494  118.23518180847168 0.9641000032424927
1.4612061977386475  118.3536731004715 0.9621000289916992
1.4611550569534302  118.21720945835114 0.9632999897003174
1.4611542224884033  118.16791236400604 0.9659000039100647
1.4611512422561646  118.15073418617249 0.9656999707221985
1.4611546993255615  118.28507673740387 0.9643999934196472
1.4611775875091553  118.37235629558563 0.9624000191688538
1.461288571357727  118.3717530965805 0.9628999829292297
1.4612598419189453  118.18827092647552 0.9656000137329102
1.4611576795578003  118.10365009307861 0.9663000106811523
1.461228847503662  118.23373115062714 0.964900016784668
1.4656460285186768  118.25647151470184 0.9642000198364258
1.462600588798523  118.1950294971466 0.964900016784668
1.462118148803711  118.25434648990631 0.9642000198364258
1.46120023727417  118.08492612838745 0.9664999842643738
1.4611632823944092  118.2062611579895 0.9646000266075134
1.461150884628296  118.26452040672302 0.964900016784668
1.4611542224884033  118.24587941169739 0.9643999934196472
1.4612072706222534  118.25797367095947 0.9638000130653381
1.4611504077911377  118.24692022800446 0.9642999768257141
1.4611890316009521  118.09550452232361 0.9664000272750854
1.461977481842041  118.14536392688751 0.965399980545044
1.4611510038375854  118.25792288780212 0.9641000032424927
1.461225152015686  118.31643068790436 0.9631999731063843
1.4611599445343018  118.16421091556549 0.965499997138977
1.4611592292785645  118.20404756069183 0.9646000266075134
1.461165428161621  118.01930773258209 0.9672999978065491
1.4611647129058838  118.22487413883209 0.9638000130653381
1.4615272283554077  118.15113699436188 0.9659000039100647
1.4648990631103516  118.1833119392395 0.965499997138977
1.4657108783721924  118.2283126115799 0.9646000266075134
1.4611642360687256  118.19254910945892 0.9642999768257141
1.4630827903747559  118.19744122028351 0.9652000069618225
1.463487148284912  118.28645539283752 0.9628000259399414
1.4662575721740723  118.02896344661713 0.9677000045776367
1.4611625671386719  118.08383774757385 0.9664999842643738
1.4611517190933228  118.04510688781738 0.9667999744415283
1.4611515998840332  118.21699929237366 0.9645000100135803
1.4611797332763672  118.25426185131073 0.9635999798774719
1.4613105058670044  118.15876460075378 0.965399980545044
1.4616683721542358  118.1085524559021 0.9656999707221985
1.4611883163452148  118.2607969045639 0.9639999866485596
1.461150884628296  118.17147302627563 0.9646999835968018
1.4611932039260864  118.252610206604 0.9638000130653381
1.461150884628296  118.27386844158173 0.9635000228881836
1.461162805557251  118.16540169715881 0.9653000235557556
1.4611504077911377  118.12012481689453 0.9661999940872192
1.4611501693725586  118.24573755264282 0.9635999798774719
1.461191177368164  118.16942918300629 0.9646999835968018
1.4624414443969727  117.97416019439697 0.9682999849319458
1.4611506462097168  118.09733068943024 0.9660999774932861
1.461247444152832  118.23811268806458 0.9650999903678894
1.4611761569976807  118.15547597408295 0.9659000039100647
1.4611506462097168  118.06438028812408 0.9671000242233276
1.461150884628296  118.06432938575745 0.9666000008583069
1.4612177610397339  118.03952157497406 0.9668999910354614
1.4614087343215942  118.01543617248535 0.9670000076293945
1.4611592292785645  118.0447005033493 0.9671000242233276
1.461164951324463  117.98121774196625 0.9684000015258789
