epoch train_loss test_loss  accuracy
0  2.154921193182849  2.1362275203968646 0.1054
10  1.7680076426267544 1.7618344730282636 0.224
20  1.636665539048008 1.7196296295729327 0.2768
30  1.6126512672328939 1.6387339668939715 0.3596
40  1.5688362140343106 1.5916505507499537 0.3852
50  1.535897347640858 1.570485058727916 0.3997
60  1.5084495467610761 1.5618569318786477 0.4092
70  1.4915745013996553 1.5571132590468106 0.4186
80  1.4803853251855887 1.5546839758429944 0.4245
90  1.4726126116806075 1.554019922490731 0.427
100  1.4679735113404486 1.5552643356911031 0.4279
110  1.486429371206581 1.5578301153537017 0.4231
120  1.494663903881728 1.5602304594663434 0.4152
130  1.4974941973257703 1.5603681929047999 0.412
140  1.4990811034535447 1.561335820630411 0.4072
150  1.500152811416008 1.5616198294208168 0.404
160  1.499707349524205 1.56228203214928 0.4
170  1.502201896970634 1.5636414047989873 0.3979
180  1.500407245297259 1.5632698470643882 0.3981
190  1.49167099933866 1.563263325272498 0.3974
200  1.4885140845088498 1.563873286813451 0.3949
210  1.4804903531790856 1.5625496922553608 0.3938
220  1.4723352897908548 1.5617327949997808 0.3908
230  1.4697412027376784 1.5630280110615788 0.3841
240  1.467804471377815 1.5623771770562958 0.3817
250  1.472529504725878 1.5617311211689013 0.3856
260  1.4735139813131422 1.5611302147194914 0.3855
270  1.4715608947547534 1.56059121999114 0.392
280  1.4735503352141015 1.5615558003892984 0.3919
290  1.4798672727693194 1.5620590264925522 0.3904
300  1.4879118162126332 1.56276559848089 0.3899
310  1.4916526150707154 1.563345340003978 0.389
320  1.497732917693133 1.5642630044659083 0.3875
330  1.4992510706986188 1.564499361562532 0.3889
340  1.4999598869024873 1.5645872341197624 0.3893
350  1.5064066170118349 1.5642759347080541 0.3914
360  1.5083619615016506 1.5642640099878877 0.3927
370  1.51010521570272 1.565431852456174 0.3909
380  1.5052142701363274 1.5661329369066048 0.3925
390  1.5062251081476463 1.566585134067288 0.3924
400  1.5129550612579898 1.5680183769212857 0.389
410  1.5157469500134961 1.5696628968912751 0.387
420  1.519222653975156 1.569725802391334 0.3848
430  1.5219588259504129 1.571641845467691 0.3829
440  1.523275057839102 1.5711928194013247 0.3908
450  1.5244545168501453 1.5714607180618376 0.3891
460  1.5273592518927182 1.5729177664858967 0.3845
470  1.5204807822577795 1.5742119455625205 0.3828
480  1.5085399199407135 1.5743628028848289 0.3873
490  1.4987575699175888 1.5748184853760112 0.3903
500  1.4962530263088418 1.575987644870923 0.3807
