epoch train_loss test_loss  accuracy
0  0.3154867903619187  0.33321272605502655 0.9038
10  0.23565516152895985 0.18183001901991053 0.9453
20  0.23938485813044816 0.15948160241686202 0.952
30  0.23993347796150663 0.15057994938864555 0.9553
40  0.23539109279314452 0.14583404336679237 0.9582
50  0.22438219965303996 0.14363710572699034 0.96
60  0.2175692122833194 0.14449644705738077 0.9603
70  0.20945173083677873 0.14649209019102005 0.9604
80  0.1993593261832051 0.1483892480003476 0.9611
90  0.18857758943282854 0.15015613837703665 0.9605
100  0.17924377981138573 0.15219765213073788 0.9625
110  0.17464648501369018 0.1548222605879058 0.9622
120  0.17534592736126775 0.15642514111074132 0.9619
130  0.17402448526496508 0.15832380438641877 0.9621
140  0.17307541798087353 0.159098851733153 0.9622
150  0.17393506756623725 0.1607478763992296 0.9631
160  0.17255249142169668 0.16225536766415377 0.9634
170  0.17319904212729462 0.16383740567546845 0.9639
180  0.1763340911326762 0.16619754569439935 0.9648
190  0.1805853858379695 0.17007082372781032 0.9649
200  0.1827758373109014 0.17294621495802548 0.9645
210  0.18196247837445745 0.17461871081492844 0.9633
220  0.18633158982710538 0.1779752248262612 0.9632
230  0.1867856069677544 0.18378157017523458 0.9622
240  0.18892390936876802 0.18641303597620812 0.9629
250  0.19189304835531942 0.1889992944155986 0.964
260  0.1908388205358351 0.19013908595674084 0.9636
270  0.193963338429798 0.18960341875124323 0.9645
280  0.20020577078781562 0.18863561466126072 0.9643
290  0.20168798626561957 0.18999198036946055 0.9637
300  0.1986626998780275 0.1943024508675406 0.9645
310  0.20480124599609636 0.20164446940019953 0.9629
320  0.2077866210715195 0.20718817085706223 0.9637
330  0.22147331844010243 0.2141108431365719 0.9631
340  0.23014847746732758 0.22121179730383164 0.9626
350  0.22434490941991714 0.22755352823790198 0.9619
360  0.2148007439340849 0.2344206230234871 0.9611
370  0.2121850933917977 0.24090536766672416 0.9599
380  0.21063466879542714 0.24656174996549138 0.9601
390  0.21832527387659373 0.2519641610356716 0.9604
400  0.22359000434989776 0.25645343607119914 0.961
410  0.22178261917371622 0.25780219507575297 0.9611
420  0.22695741797514743 0.25835181378987115 0.9619
430  0.23763609725747648 0.26455826853988634 0.9602
440  0.23128932872371175 0.2697078788992843 0.9608
450  0.20678194573678202 0.2739409994604262 0.9603
460  0.18650968715519403 0.27811317933360535 0.9599
470  0.17777692631027697 0.28328758629738265 0.9598
480  0.1744325425660547 0.2886871000947931 0.9603
490  0.1755819255818424 0.29388222224074295 0.959
