epoch train_loss test_loss  accuracy
0  0.32255987506816347  0.34135853043388437 0.9031
1  0.27601077467390817 0.2787177265647934 0.9173
2  0.2571897467163539 0.25203624508936073 0.9243
3  0.24714759983350706 0.23528934422578915 0.9291
4  0.2424068423280071 0.22328609448262524 0.9328
5  0.2382510212810832 0.21409585431809838 0.9362
6  0.23473586222913964 0.206624964768192 0.9389
7  0.231539375687523 0.20040290873070835 0.9407
8  0.22878441815191067 0.1951096764260742 0.942
9  0.22667006853312802 0.1905412245696202 0.9439
10  0.2251697907372232 0.1864603316563755 0.9455
11  0.2235224820169829 0.1828641203321236 0.9463
12  0.221964481106547 0.17966779411671605 0.9475
13  0.22066343309256745 0.17671225171807614 0.9484
14  0.2194236669538929 0.174066225995985 0.949
15  0.2184693678917861 0.17159182210408466 0.95
16  0.2176865815628611 0.16937527346659606 0.9509
17  0.21675541776451732 0.16735228027214077 0.951
18  0.21630392922029695 0.16549882933772347 0.9517
19  0.21567414617942396 0.16372808996617685 0.9515
20  0.215363382552208 0.16208095334465705 0.9526
21  0.21536489525215188 0.1605209191868709 0.9531
22  0.21521904854760507 0.15904340276613735 0.9537
23  0.21521317598557368 0.15767774065927773 0.9546
24  0.2153629216124023 0.15647161058850564 0.9546
25  0.21555002438501894 0.15536571129520102 0.9544
26  0.21539559043843295 0.15433458993097915 0.9549
27  0.21507135634759758 0.1534382494621461 0.9558
28  0.2152015314414085 0.15261950252230772 0.9554
29  0.2152605978542602 0.15180977225884812 0.9557
30  0.21535397860983277 0.15108908461785434 0.956
31  0.21531596901179909 0.15040561116004408 0.9563
32  0.21547650512687247 0.14976395524483213 0.9564
33  0.21543415552897419 0.14920115730307268 0.9565
34  0.21540550233759567 0.14865262583903185 0.9571
35  0.2153504039350195 0.14816455741832488 0.9575
36  0.2152647966862172 0.14773109731924416 0.9582
37  0.21555561298949363 0.14737904088967288 0.9587
38  0.21611444115979325 0.1470660355719615 0.9589
39  0.2169267736335094 0.14673610339887905 0.9593
40  0.2176965153613318 0.1464806448605458 0.9594
41  0.2187938295064831 0.14623251262772047 0.9597
42  0.21975464134131917 0.14608364336367805 0.9599
43  0.22080746045301639 0.14597647329315383 0.9599
44  0.22163869231685052 0.14587059788840184 0.9597
45  0.22249083015813698 0.1457320533965042 0.9599
46  0.22321010522211795 0.14554463721400385 0.9602
47  0.22372864495738395 0.14536249005983942 0.9603
48  0.22424749908991568 0.14523084601192754 0.9608
49  0.22465354037455174 0.14509098803345272 0.961
50  0.22515328199216014 0.14496895411909289 0.9612
51  0.22558732854136207 0.14486394202089128 0.9611
52  0.2258809692747268 0.14476190643210546 0.9614
53  0.22573146831616775 0.14468767279136446 0.9616
54  0.22553333037891377 0.1446464111724933 0.9617
55  0.2251511835061759 0.14466075650273053 0.962
56  0.22481130368207278 0.14471517674826423 0.9619
57  0.22454674919800977 0.14482035337523194 0.9617
58  0.2244998433918278 0.1449430854880502 0.9616
59  0.22482715969336708 0.14510647193163048 0.9612
60  0.22477901372979203 0.14520720852448626 0.9615
61  0.22464198844615124 0.14524929872987022 0.9616
62  0.224432172957115 0.14528966753435316 0.9618
63  0.22387196591765557 0.145321861637569 0.962
64  0.22321408112707297 0.14537664367504882 0.962
65  0.22243107020553166 0.14546800740163277 0.9618
66  0.22174257929457641 0.14555331922602407 0.9614
67  0.2209527018037543 0.1457003507793554 0.9618
68  0.2204572447439306 0.1458776386837058 0.9615
69  0.22015238338370144 0.14602461777090694 0.9616
70  0.21967113828815107 0.1461794657291655 0.9617
71  0.2194026587741378 0.14632348661179015 0.962
72  0.21896295016100317 0.14644065817999735 0.9615
73  0.21866484398951924 0.14649428249647797 0.9615
74  0.21812984991402048 0.14649795745841238 0.9616
75  0.2173330156791765 0.14648301190242188 0.9617
76  0.2163818818790265 0.14650084789392412 0.9616
77  0.21542862342903368 0.1464677185328759 0.961
78  0.21472611239232556 0.14644165014354435 0.961
79  0.2141725066707251 0.1464266169227679 0.9609
80  0.21361204060453562 0.146472888965372 0.961
81  0.21311030016735946 0.14648042906697248 0.9607
82  0.21242372882607363 0.14648894980148533 0.9607
83  0.2119566287031496 0.146571507928973 0.9608
84  0.211762939713991 0.14660481436857045 0.961
85  0.211440218172712 0.14664379999487084 0.9613
86  0.21126080356017715 0.14668839499355316 0.9616
87  0.2110222562770053 0.14676661014549297 0.9615
88  0.21092919200838253 0.1468692260895002 0.9617
89  0.21086761899313936 0.1470233666304112 0.9616
90  0.2108605492682999 0.14717297448551267 0.9619
91  0.2108228521146953 0.14732214187123358 0.962
92  0.2106121617490874 0.14745697558019188 0.9624
93  0.21024221276601254 0.14758297553235167 0.963
94  0.209709884005738 0.14769540286606067 0.9629
95  0.2092635313133698 0.14779900522954512 0.9629
96  0.2087229744690443 0.14795281606412558 0.963
97  0.2083981321692359 0.14807373712879884 0.963
98  0.20780221258578072 0.14826186604058134 0.9628
99  0.20752016291943762 0.14850346838660267 0.9628
