epoch train_loss test_loss  accuracy
0.2694990336894989  28.805671952664852 0.9056999683380127
0.16830335557460785  21.546634897589684 0.9220999479293823
0.1331470012664795  18.52880566008389 0.9311999678611755
0.10771909356117249  16.472647526301444 0.9388999938964844
0.08623385429382324  14.881875801831484 0.9441999793052673
0.06894397735595703  13.593816011212766 0.9490999579429626
0.055532004684209824  12.52590578282252 0.9526000022888184
0.04539521411061287  11.636241249740124 0.9557999968528748
0.037726856768131256  10.894546508323401 0.9589999914169312
0.031740497797727585  10.274026783648878 0.9615999460220337
0.026888109743595123  9.752866960829124 0.9628999829292297
0.022887682542204857  9.313613419421017 0.9642999768257141
0.01956878788769245  8.941254507284611 0.9655999541282654
0.016790565103292465  8.62312141712755 0.9675999879837036
0.014446697197854519  8.348525858484209 0.9684000015258789
0.012445716187357903  8.109195426339284 0.9686999917030334
0.010714126750826836  7.899405917734839 0.9695000052452087
0.009211231954395771  7.715105420094915 0.9703999757766724
0.007924294099211693  7.552583469427191 0.9705999493598938
0.006844725925475359  7.408575440640561 0.9709999561309814
0.005954412277787924  7.280987638048828 0.9715999960899353
0.005229971371591091  7.168587159132585 0.9721999764442444
0.0046468740329146385  7.070401280536316 0.972599983215332
0.004179773386567831  6.98565857775975 0.973099946975708
0.003806837135925889  6.913639201084152 0.9735999703407288
0.0035128453746438026  6.85338649264304 0.9740999937057495
0.0032872341107577085  6.803606127738021 0.9736999869346619
0.003119984408840537  6.762891966907773 0.9741999506950378
0.003000150667503476  6.730065314099193 0.9746999740600586
0.002917359583079815  6.7042035749182105 0.97489994764328
0.002863824600353837  6.68453335337108 0.9750999808311462
0.00283397757448256  6.67046451245551 0.9750999808311462
0.0028222312685102224  6.661619697115384 0.9747999906539917
0.00282222218811512  6.657794776430819 0.9746999740600586
0.002827105112373829  6.65894767336431 0.97489994764328
0.002832586644217372  6.665050607378362 0.9747999906539917
0.0028383485041558743  6.6757718108419795 0.97489994764328
0.0028442793991416693  6.690653659810778 0.9749999642372131
0.002849843120202422  6.709427609355771 0.9750999808311462
0.0028547223191708326  6.732038039612235 0.97489994764328
0.002858223859220743  6.758579800676671 0.9747999906539917
0.0028588050045073032  6.789149246949819 0.9749999642372131
0.0028548049740493298  6.823786413122434 0.9749999642372131
0.002843001624569297  6.862480754512944 0.97489994764328
0.002817808650434017  6.90508550631057 0.9752999544143677
0.002773148939013481  6.951182748700376 0.9754999876022339
0.002706277184188366  7.00019649398746 0.9753999710083008
0.002618705155327916  7.051564068613516 0.9753999710083008
0.0025135150644928217  7.104829193311161 0.9749999642372131
0.002395348623394966  7.159828152471164 0.9749999642372131
0.0022701516281813383  7.21685413808882 0.9750999808311462
0.0021425727754831314  7.276241398045386 0.9749999642372131
0.002014664700254798  7.338041594637616 0.9747999906539917
0.0018871836364269257  7.402142222184921 0.9747999906539917
0.0017606774345040321  7.468419300908863 0.9749999642372131
0.00163561652880162  7.536790239981201 0.97489994764328
0.0015127743827179074  7.607186949986499 0.9750999808311462
0.0013932745205238461  7.679536130737688 0.9749999642372131
0.001278230920433998  7.753742937362404 0.9749999642372131
0.0011684369528666139  7.829704260635481 0.9749999642372131
0.001064501004293561  7.907332268550817 0.9750999808311462
0.0009661461808718741  7.986595131853392 0.9749999642372131
0.0008723288192413747  8.067534959278419 0.9747999906539917
0.0007800278253853321  8.15025311410136 0.9749999642372131
0.0006823876174166799  8.234521713922732 0.97489994764328
0.0005731275887228549  8.3174373527836 0.97489994764328
0.0004902830114588141  8.399806913503198 0.9747999906539917
0.00043299165554344654  8.48596151140191 0.9745999574661255
0.0003841549332719296  8.573693418034964 0.9745000004768372
0.00034179785870946944  8.662827933456356 0.9741999506950378
0.00030444422736763954  8.753179842375175 0.9738999605178833
0.00027121591847389936  8.844638815011422 0.973800003528595
0.000241574743995443  8.937152781876648 0.9738999605178833
0.0002150627551600337  9.030704897022588 0.9736999869346619
0.0001913925661938265  9.125304059853988 0.9739999771118164
0.00017025365377776325  9.220958535554018 0.9739999771118164
0.0001513425086159259  9.317697754057917 0.9740999937057495
0.00013452650455292314  9.415535500957048 0.9738999605178833
0.00011951631313422695  9.514487808685772 0.973800003528595
0.00010615643986966461  9.614563007804918 0.9736999869346619
9.426883480045944e-05  9.715769978212393 0.9736999869346619
8.369765419047326e-05  9.81810045382872 0.9734999537467957
7.430928235407919e-05  9.921561437524815 0.9733999967575073
6.595510058104992e-05  10.026134442945931 0.9732999801635742
5.856088682776317e-05  10.131815421804731 0.973099946975708
5.19853419973515e-05  10.238573464604087 0.9731999635696411
4.615414945874363e-05  10.346384185976149 0.9729999899864197
4.097059718333185e-05  10.455224768967355 0.9729999899864197
3.639010537881404e-05  10.565038145121434 0.9729999899864197
3.234570613130927e-05  10.675788372114994 0.9728999733924866
2.8755521270795725e-05  10.787434331210761 0.9728999733924866
2.554510865593329e-05  10.899904310641205 0.9728999733924866
2.2714502847520635e-05  11.013171581371125 0.9728999733924866
2.0219045836711302e-05  11.127164482978287 0.9728999733924866
1.79842536454089e-05  11.241835084592594 0.9728999733924866
1.60176041390514e-05  11.357141644075796 0.9729999899864197
1.4274406566983089e-05  11.473045984128362 0.973099946975708
1.2702521416940726e-05  11.589506114865799 0.9728999733924866
1.1331763744237833e-05  11.706492850442828 0.9729999899864197
1.0117435522261076e-05  11.823976082996637 0.9728999733924866
