epoch train_loss test_loss  accuracy
2.260671377182007  181.0009696483612 0.20349998772144318
2.2067856788635254  176.1645908355713 0.2818000018596649
2.1679959297180176  173.09114980697632 0.3874000012874603
2.130100965499878  170.39032626152039 0.5
2.0913803577423096  167.7659993171692 0.5598999857902527
2.0520224571228027  165.15299820899963 0.5978999733924866
2.0122733116149902  162.5329716205597 0.6262999773025513
1.9722607135772705  159.89816319942474 0.6455999612808228
1.9320451021194458  157.24448013305664 0.6613999605178833
1.8916652202606201  154.57006347179413 0.674299955368042
1.851161003112793  151.8748780488968 0.6836999654769897
1.8105844259262085  149.1605293750763 0.6918999552726746
1.7700002193450928  146.43003749847412 0.6987000107765198
1.729485273361206  143.6876757144928 0.7062000036239624
1.6891270875930786  140.93872165679932 0.712399959564209
1.6490195989608765  138.1892431974411 0.7170999646186829
1.6092606782913208  135.44587516784668 0.7226999998092651
1.5699487924575806  132.71557354927063 0.7268999814987183
1.5311802625656128  130.00539588928223 0.7312999963760376
1.4930469989776611  127.32230472564697 0.7351999878883362
1.455633282661438  124.6729884147644 0.7382000088691711
1.4190161228179932  122.06370174884796 0.7416999936103821
1.383262038230896  119.50014686584473 0.7466999888420105
1.3484280109405518  116.98739635944366 0.7518999576568604
1.3145601749420166  114.52983689308167 0.7576999664306641
1.2816944122314453  112.13112592697144 0.7608000040054321
1.2498562335968018  109.79422271251678 0.7633999586105347
1.2190614938735962  107.52137279510498 0.7662000060081482
1.1893174648284912  105.31416809558868 0.7684999704360962
1.1606229543685913  103.17359530925751 0.772599995136261
1.132969856262207  101.1000908613205 0.7752999663352966
1.1063441038131714  99.09358936548233 0.7770999670028687
1.0807260274887085  97.15360283851624 0.7787999510765076
1.0560917854309082  95.27927815914154 0.7807999849319458
1.0324145555496216  93.46946614980698 0.7838000059127808
1.0096635818481445  91.72276788949966 0.7865999937057495
0.9878075122833252  90.03757375478745 0.7893999814987183
0.9668132066726685  88.41213828325272 0.791700005531311
0.9466463923454285  86.84460151195526 0.793999969959259
0.9272729158401489  85.33303171396255 0.7965999841690063
0.9086587429046631  83.87545090913773 0.7989999651908875
0.8907699584960938  82.46986401081085 0.8014000058174133
0.8735734224319458  81.11427795886993 0.8032000064849854
0.8570373058319092  79.80671244859695 0.8052999973297119
0.84112948179245  78.5452252626419 0.8080999851226807
0.8258209824562073  77.32791674137115 0.8100000023841858
0.8110819458961487  76.15293270349503 0.8113999962806702
0.7968851923942566  75.01847743988037 0.8137999773025513
0.7832040786743164  73.92282921075821 0.8150999546051025
0.7700138688087463  72.86431068181992 0.8176999688148499
0.7572903037071228  71.84132480621338 0.819599986076355
0.7450109124183655  70.8523291349411 0.8222000002861023
0.7331541180610657  69.89585453271866 0.8234999775886536
0.7216996550559998  68.97049832344055 0.8252999782562256
0.7106282711029053  68.0749124288559 0.8274999856948853
0.6999219059944153  67.20781809091568 0.8287000060081482
0.6895633935928345  66.36799931526184 0.8312999606132507
0.6795364618301392  65.55428314208984 0.8333999514579773
0.6698260307312012  64.76557156443596 0.8341999650001526
0.6604174375534058  64.00080633163452 0.8353999853134155
0.6512972116470337  63.25898739695549 0.8373000025749207
0.6424525380134583  62.53916338086128 0.8388999700546265
0.6338712573051453  61.840424954891205 0.8398999571800232
0.6255418658256531  61.16190913319588 0.8406999707221985
0.6174536347389221  60.50279778242111 0.842199981212616
0.6095961332321167  59.862307608127594 0.8432999849319458
0.601959764957428  59.239690482616425 0.8445000052452087
0.5945355892181396  58.63425287604332 0.8449999690055847
0.5873147249221802  58.045311748981476 0.84579998254776
0.5802890658378601  57.47223627567291 0.8468999862670898
0.5734507441520691  56.91441372036934 0.8478999733924866
0.5667924880981445  56.371262311935425 0.8486999869346619
0.5603073239326477  55.84222865104675 0.8495000004768372
0.5539883971214294  55.32678872346878 0.8499999642372131
0.5478299856185913  54.82444408535957 0.8509999513626099
0.541825532913208  54.33470970392227 0.8519999980926514
0.5359696745872498  53.85713881254196 0.8522999882698059
0.530256986618042  53.391292840242386 0.8538999557495117
0.5246822237968445  52.93675434589386 0.8543999791145325
0.5192404389381409  52.49312797188759 0.8550999760627747
0.5139272212982178  52.06003502011299 0.85589998960495
0.5087379217147827  51.63711288571358 0.8569999933242798
0.503668487071991  51.224021673202515 0.8578000068664551
0.49871474504470825  50.82042792439461 0.8592000007629395
0.4938730001449585  50.426013976335526 0.8593999743461609
0.48913928866386414  50.04047816991806 0.8605999946594238
0.48451024293899536  49.66353714466095 0.8611999750137329
0.4799825847148895  49.29490613937378 0.8622999787330627
0.47555309534072876  48.934323877096176 0.8626999855041504
0.471218466758728  48.58153799176216 0.863599956035614
0.46697595715522766  48.236301094293594 0.8643999695777893
0.46282264590263367  47.898380011320114 0.8646000027656555
0.4587557911872864  47.567554622888565 0.865399956703186
0.45477306842803955  47.24360689520836 0.8662999868392944
0.4508715569972992  46.926329255104065 0.8669999837875366
0.4470493495464325  46.61552992463112 0.8675999641418457
0.4433037340641022  46.311011746525764 0.8682999610900879
0.43963274359703064  46.012596532702446 0.8684999942779541
0.43603429198265076  45.72010640799999 0.8689999580383301
0.4325062334537506  45.43337273597717 0.8695999979972839
