epoch train_loss test_loss  accuracy
4.104411405115571  4.018607358761293 0.1028
3.7158284245084077  3.639960437738529 0.1042
3.4687640277202356  3.4002500146059798 0.1172
3.2972626946474435  3.232428666476082 0.1276
3.168391451849319  3.1046049792787365 0.1363
3.064434316047716  2.9999241092365296 0.1492
2.975801197741866  2.909481449605389 0.1719
2.89737485988476  2.828703800651312 0.2027
2.8264380542953607  2.7552739985158934 0.2294
2.76151875534657  2.6879832749915873 0.2533
2.7017688394402857  2.626132119455763 0.2693
2.646641646977957  2.5692372752394776 0.2826
2.595731532612077  2.516900038989847 0.2933
2.5486981518968967  2.468753999306741 0.3034
2.5052332083591002  2.424448585617885 0.3127
2.4650473689474013  2.383646797962522 0.3199
2.4278661118313347  2.3460273341583147 0.3268
2.393429137850255  2.3112872240244626 0.3325
2.361490943764503  2.2791437482426726 0.3388
2.3318215747133757  2.2493354804033765 0.3437
2.304207206586224  2.2216226215157686 0.3489
2.278450464729049  2.1957868339875457 0.3549
2.2543704729352316  2.1716307279820772 0.3649
2.231802648365145  2.1489770905502454 0.3817
2.210598260455526  2.1276679049726295 0.4018
2.190623773275959  2.10756318784151 0.4226
2.171759995819435  2.088539668686332 0.4394
2.1539010722988823  2.0704893433980267 0.4567
2.1369533519963597  2.0533179415039404 0.4716
2.1208341832990185  2.036943353991795 0.4869
2.105470678058411  2.0212940707321567 0.5
2.090798490196607  2.0063076742642414 0.5115
2.0767606471675237  1.991929430557893 0.5221
2.063306465445226  1.9781110086080367 0.534
2.0503905726958074  1.9648093506814353 0.5453
2.0379720506145946  1.9519857048638405 0.5535
2.0260137042864113  1.9396048221175686 0.5614
2.014481456843074  1.9276343119429984 0.5681
2.003343862441033  1.9160441442852862 0.5745
1.9925717262926066  1.9048062806843649 0.5808
1.982137817658587  1.893894414820752 0.5871
1.9720166602515856  1.883283801430116 0.5922
1.9621843842391788  1.8729511528236056 0.5971
1.9526186247546107  1.8628745836748553 0.6014
1.9432984532745614  1.8530335870015042 0.6059
1.9342043301572576  1.8434090270583279 0.6098
1.9253180688139435  1.8339831378718612 0.6141
1.9166228042076423  1.8247395191272218 0.6179
1.9081029604726119  1.8156631238681138 0.6208
1.8997442143105197  1.806740234855019 0.624
1.8915334523763645  1.7979584283696066 0.6268
1.8834587220911596  1.789306525734041 0.6291
1.875509176215397  1.780774533852683 0.6318
1.8676750121171686  1.7723535767302878 0.6355
1.8599474070160882  1.7640358202415973 0.6391
1.8523184506298112  1.7558143924945704 0.6421
1.844781076645204  1.7476833020139457 0.6454
1.8373289943279207  1.739637355736376 0.6474
1.8299566214123297  1.731672078505583 0.651
1.8226590192103547  1.723783635426993 0.6533
1.8154318306668433  1.7159687581160032 0.6548
1.8082712218872647  1.7082246755725115 0.6567
1.801173827481363  1.7005490501484803 0.6597
1.7941366999096076  1.6929399188506675 0.6619
1.7871572628898347  1.6853956400381984 0.6633
1.7802332688189766  1.6779148454322639 0.6646
1.7733627600870534  1.6704963972488474 0.6672
1.7665440341047252  1.6631393501901501 0.6689
1.7597756118282646  1.6558429179810148 0.671
1.7530562095434419  1.64860644410815 0.6725
1.746384713659386  1.6414293764077403 0.6755
1.7397601582621114  1.6343112451471087 0.6778
1.7331817051827627  1.6272516442550797 0.6798
1.7266486263456449  1.6202502153709237 0.6825
1.7201602881742346  1.613306634400949 0.6838
1.7137161378482997  1.6064206002934098 0.6857
1.707315691221081  1.5995918257650645 0.688
1.7009585222214563  1.5928200297355661 0.6908
1.6946442535816697  1.586104931248275 0.6921
1.6883725487461614  1.5794462446775956 0.6938
1.6821431048311288  1.5728436760432754 0.6959
1.6759556465175394  1.5662969202711596 0.6973
1.669809920772303  1.5598056592575282 0.6991
1.6637056923033111  1.5533695606103959 0.7
1.6576427396639615  1.546988276956038 0.7015
1.6516208519317548  1.5406614457125478 0.7036
1.6456398258935945  1.5343886892445224 0.7055
1.6396994636776672  1.528169615324104 0.7075
1.6337995707781932  1.522003817833564 0.7093
1.6279399544251454  1.5158908776536246 0.7106
1.6221204222561643  1.5098303636896981 0.7126
1.6163407812524866  1.503821833995356 0.7142
1.6106008369048184  1.4978648369586598 0.7157
1.6049003925787257  1.4919589125225565 0.7168
1.5992392490523972  1.4861035934154272 0.7186
1.5936172042025403  1.48029840637216 0.7196
1.5880340528167813  1.474542873329823 0.7214
1.5824895865132882  1.4688365125852307 0.7222
1.576983593750411  1.4631788399044559 0.7236
1.5715158599110304  1.4575693695766896 0.7251
