epoch train_loss test_loss  accuracy
2.304012579069442  2.3012813484849723 0.1028
2.30406796235155  2.3011743988117193 0.1135
2.304119963524714  2.3010399978490073 0.1135
2.3041648266558914  2.3008620289853474 0.1135
2.3041955542664194  2.300617276504085 0.1135
2.3042008206266282  2.300271439347392 0.1135
2.304162267738397  2.2997729205746684 0.1135
2.3040501053588205  2.299042982612437 0.1135
2.303815869214185  2.2979599952858343 0.1135
2.303380402156994  2.296334152647395 0.1135
2.3026138650356  2.293867237950594 0.1135
2.301302855140546  2.2900906315513847 0.1135
2.299098366686009  2.284277540905767 0.1135
2.2954413165500296  2.275343884167148 0.1136
2.289481550970283  2.2618107887695604 0.1197
2.2800634394433033  2.242017129425086 0.1411
2.2659440378259075  2.2148371606519386 0.1653
2.24639768597136  2.1808077476288643 0.1862
2.2219697391310627  2.142687013148145 0.2033
2.1946027559012036  2.1043860912490118 0.2194
2.1667499182155687  2.069034588372596 0.2374
2.1402864992277526  2.0380222884478916 0.2498
2.1161162922897585  2.0113588938191134 0.2595
2.0943966695138467  1.9884174720032934 0.2646
2.0749009352136194  1.9684395772818541 0.271
2.0572719887086346  1.950752129769171 0.2777
2.0411501879248597  1.934822890386072 0.2817
2.026223326299292  1.9202520933269662 0.2847
2.012238899130629  1.9067467016742197 0.2876
1.9990009732450658  1.8940944891464686 0.2904
1.9863620445577646  1.8821427344092365 0.296
1.9742141534684359  1.870781931385721 0.2991
1.9624807670405602  1.8599336909910784 0.3027
1.951109808851327  1.8495418586930732 0.3058
1.9400678163864267  1.839566023066371 0.3072
1.929335101766913  1.829976785017919 0.3097
1.9189017908980486  1.8207523235371612 0.3126
1.908764637469459  1.8118759199575463 0.3145
1.8989245230952487  1.8033341938604863 0.3155
1.8893845588147877  1.7951158681283457 0.3169
1.8801487009007063  1.787210925915214 0.3196
1.8712207915257004  1.779610054640225 0.3227
1.8626039363248423  1.7723042960734439 0.3236
1.8543001374559651  1.7652848402139572 0.3251
1.8463101115000342  1.7585429157444055 0.3265
1.8386332345435283  1.752069742288695 0.3274
1.8312675700635255  1.7458565198746983 0.3281
1.8242099472903626  1.7398944390617155 0.3285
1.817456067709064  1.7341747012666573 0.3297
1.8110006250261879  1.7286885431287942 0.3304
1.80483742942947  1.7234272615953108 0.3317
1.7989595306761617  1.7183822381378224 0.3321
1.7933593368998306  1.7135449614604432 0.3318
1.7880287274323885  1.7089070485164761 0.332
1.782959158730722  1.7044602638253028 0.3324
1.7781417629212972  1.7001965371161478 0.3328
1.773567438698518  1.6961079793065938 0.3342
1.7692269344378821  1.6921868967962903 0.3345
1.7651109234721087  1.6884258040394373 0.335
1.761210071556727  1.684817434358455 0.3366
1.7575150966317263  1.681354748973661 0.3364
1.7540168210687632  1.678030944245405 0.3375
1.7507062166754108  1.6748394571513316 0.3373
1.7475744428039883  1.6717739690485403 0.3375
1.7446128779783703  1.6688284077956679 0.3377
1.7418131455044954  1.665996948331735 0.3379
1.7391671335676329  1.6632740118260196 0.3377
1.7366670103413684  1.6606542635260584 0.3393
1.7343052346406527  1.6581326094391025 0.3401
1.732074562645608  1.6557041919864446 0.3413
1.729968051206214  1.6533643847703599 0.3424
1.7279790582126522  1.651108786590624 0.3436
1.7261012404842624  1.648933214842204 0.344
1.7243285495938878  1.6468336984183778 0.345
1.7226552260056511  1.6448064702347343 0.3466
1.721075791864558  1.6428479594797392 0.3475
1.7195850427370614  1.6409547836872291 0.348
1.718178038563832  1.6391237407156969 0.3488
1.7168500940501528  1.6373518007088164 0.3493
1.7155967686862172  1.6356360981016018 0.3493
1.7144138565592904  1.6339739237270299 0.3497
1.7132973760924504  1.632362717069042 0.3505
1.7122435598204397  1.6308000586996316 0.3505
1.7112488442918863  1.6292836629302896 0.3505
1.7103098601687066  1.6278113707013966 0.3505
1.709423422577654  1.6263811427272548 0.3515
1.7085865217554685  1.6249910529092828 0.3525
1.707796314017718  1.6236392820254133 0.3527
1.7070501130719682  1.6223241116999143 0.3526
1.7063453816880554  1.6210439186546224 0.3528
1.7056797237319028  1.61979716923987 0.3534
1.7050508765641312  1.6185824142411824 0.354
1.704456703800637  1.6173982839560215 0.3555
1.7038951884291442  1.616243483533439 0.3559
1.7033644262732068  1.6151167885684035 0.3564
1.7028626197933956  1.6140170409417585 0.3569
1.7023880722140134  1.6129431448961806 0.3575
1.7019391819628087  1.6118940633381398 0.3572
1.701514437410604  1.6108688143556504 0.3578
1.7011124118974428  1.6098664679415409 0.3582
