epoch train_loss test_loss  accuracy
2.3029732704162598  181.88141918182373 0.11349999904632568
2.3028464317321777  181.86570024490356 0.11349999904632568
2.302701473236084  181.85131168365479 0.11349999904632568
2.3025434017181396  181.83814787864685 0.11349999904632568
2.302375316619873  181.8260097503662 0.11349999904632568
2.3021976947784424  181.8145968914032 0.11349999904632568
2.3020081520080566  181.80353784561157 0.11349999904632568
2.301802635192871  181.79242777824402 0.11349999904632568
2.301574945449829  181.78085350990295 0.11349999904632568
2.3013176918029785  181.76839113235474 0.11349999904632568
2.3010220527648926  181.754620552063 0.11349999904632568
2.3006772994995117  181.73907470703125 0.11349999904632568
2.3002724647521973  181.72123384475708 0.11349999904632568
2.299793243408203  181.70048570632935 0.11349999904632568
2.2992238998413086  181.67610692977905 0.11349999904632568
2.2985458374023438  181.64720559120178 0.11349999904632568
2.297736406326294  181.61271262168884 0.11349999904632568
2.29677152633667  181.57134699821472 0.11349999904632568
2.2956228256225586  181.52161955833435 0.11349999904632568
2.294262409210205  181.4618501663208 0.11349999904632568
2.292661190032959  181.39023637771606 0.11349999904632568
2.29079532623291  181.30497217178345 0.11349999904632568
2.2886452674865723  181.20437169075012 0.11349999904632568
2.2862014770507812  181.08707571029663 0.11349999904632568
2.2834630012512207  180.95217370986938 0.11349999904632568
2.2804410457611084  180.7993505001068 0.11349999904632568
2.2771551609039307  180.62894797325134 0.11349999904632568
2.2736363410949707  180.4420039653778 0.11349999904632568
2.269923686981201  180.2402114868164 0.11349999904632568
2.266063928604126  180.02584195137024 0.11349999904632568
2.2621092796325684  179.8016073703766 0.11349999904632568
2.2581143379211426  179.57050609588623 0.11349999904632568
2.2541327476501465  179.33563089370728 0.11349999904632568
2.250215530395508  179.10000014305115 0.11349999904632568
2.2464065551757812  178.86639738082886 0.11349999904632568
2.2427425384521484  178.63725352287292 0.11349999904632568
2.239250898361206  178.41458535194397 0.11349999904632568
2.2359507083892822  178.19996666908264 0.11349999904632568
2.2328526973724365  177.99452233314514 0.11349999904632568
2.22996187210083  177.79899430274963 0.1136000007390976
2.227276086807251  177.6137773990631 0.1137000024318695
2.224790096282959  177.4389772415161 0.11379999667406082
2.2224948406219482  177.2744779586792 0.11379999667406082
2.2203800678253174  177.11999464035034 0.11469999700784683
2.2184336185455322  176.97513794898987 0.11580000072717667
2.216643810272217  176.83942866325378 0.11789999902248383
2.2149980068206787  176.71234035491943 0.12080000340938568
2.213484525680542  176.5933301448822 0.12439999729394913
2.2120916843414307  176.48185396194458 0.12839999794960022
2.2108092308044434  176.377375125885 0.13379999995231628
2.209627151489258  176.27937698364258 0.13899999856948853
2.2085366249084473  176.1873700618744 0.1459999978542328
2.207529067993164  176.10089468955994 0.15459999442100525
2.206597328186035  176.01951456069946 0.16200000047683716
2.2057342529296875  175.94283270835876 0.16949999332427979
2.2049338817596436  175.87047934532166 0.17679999768733978
2.204190492630005  175.80210947990417 0.1835000067949295
2.203498601913452  175.7374143600464 0.1891999989748001
2.202854633331299  175.67609858512878 0.193900004029274
2.2022533416748047  175.61790418624878 0.19779999554157257
2.201692581176758  175.56259107589722 0.20229999721050262
2.201167345046997  175.5099334716797 0.20579999685287476
2.2006759643554688  175.45972275733948 0.2092999964952469
2.2002151012420654  175.41178226470947 0.21299999952316284
2.199782133102417  175.3659393787384 0.21719999611377716
2.1993751525878906  175.3220338821411 0.22020000219345093
2.1989922523498535  175.2799220085144 0.22200000286102295
2.1986310482025146  175.23947763442993 0.22509999573230743
2.1982905864715576  175.20057606697083 0.22689999639987946
2.1979689598083496  175.1631019115448 0.2282000035047531
2.197664976119995  175.12695622444153 0.2298000007867813
2.1973769664764404  175.09204411506653 0.23119999468326569
2.197103977203369  175.05827164649963 0.23199999332427979
2.196845054626465  175.02556157112122 0.23240000009536743
2.196599245071411  174.99383974075317 0.23319999873638153
2.1963655948638916  174.9630310535431 0.23340000212192535
2.196143388748169  174.93307328224182 0.23479999601840973
2.195931911468506  174.90390586853027 0.2354000061750412
2.195730209350586  174.87546944618225 0.23600000143051147
2.195537805557251  174.84770846366882 0.2370000034570694
2.195354461669922  174.8205804824829 0.23729999363422394
2.195178985595703  174.79403042793274 0.2378000020980835
2.1950109004974365  174.76801466941833 0.23849999904632568
2.194850444793701  174.74249744415283 0.23819999396800995
2.1946966648101807  174.7174355983734 0.23819999396800995
2.1945488452911377  174.69278836250305 0.23839999735355377
2.1944074630737305  174.66852617263794 0.2387000024318695
2.1942713260650635  174.644611120224 0.23909999430179596
2.1941404342651367  174.62101483345032 0.23970000445842743
2.19401478767395  174.59770369529724 0.23989999294281006
2.1938934326171875  174.57465052604675 0.23980000615119934
2.193776845932007  174.5518238544464 0.23989999294281006
2.193664312362671  174.52919626235962 0.23960000276565552
2.1935551166534424  174.50674557685852 0.2402999997138977
2.1934499740600586  174.48444271087646 0.24079999327659607
2.193347930908203  174.4622676372528 0.24140000343322754
2.193249225616455  174.44019198417664 0.24160000681877136
2.1931533813476562  174.41819548606873 0.24199999868869781
2.1930601596832275  174.39625120162964 0.24250000715255737
2.192969560623169  174.37434482574463 0.24210000038146973
