epoch train_loss test_loss  accuracy
0  0.19317891220512454  0.8017736782839289 0.8756
1  0.1696701951360182 0.44602891171214043 0.9387
2  0.16793174732309457 0.39880672253931093 0.947
3  0.16796456650479785 0.3610016610838291 0.9501
4  0.1680064226485237 0.3539327935282079 0.9513
5  0.16812004108932907 0.3482281300490547 0.9514
6  0.1680170056098547 0.34886144257309354 0.9508
7  0.16801859929957452 0.3497500155084903 0.9505
8  0.1679938960345806 0.3509134952510186 0.9515
9  0.1679759556157918 0.35185643054095533 0.9516
10  0.16796668473991264 0.3525866896136491 0.9517
11  0.1679616354690856 0.35294130111865013 0.9515
12  0.16795921152252835 0.35312159713776364 0.9517
13  0.16795832752099826 0.35321884261158154 0.9518
14  0.1679577587997705 0.3532782080104138 0.9519
15  0.16795752749046577 0.353310528893606 0.9519
16  0.1679574041822847 0.3533302043050982 0.9521
17  0.16795733084294362 0.35334197835315695 0.9521
18  0.16795728753753617 0.3533492979449341 0.9522
19  0.16795726080613113 0.3533538622365297 0.9522
20  0.16795724452116068 0.35335671466441626 0.9522
21  0.16795723450881672 0.35335846701104834 0.9523
22  0.16795722831785295 0.3533595532101742 0.9523
23  0.16795722447516304 0.35336022690414004 0.9523
24  0.167957222082299 0.353360644950861 0.9523
25  0.1679572205900833 0.3533609043370162 0.9523
26  0.16795721965866997 0.35336106534449935 0.9523
27  0.16795721907782904 0.35336116536243445 0.9523
28  0.167957218715611 0.35336122754375476 0.9523
29  0.16795721848968695 0.35336126622957703 0.9523
30  0.16795721834874122 0.35336129031106517 0.9523
31  0.16795721826079016 0.353361305308285 0.9523
32  0.16795721820589612 0.3533613146521206 0.9523
33  0.1679572181716272 0.3533613204759737 0.9523
34  0.16795721815023004 0.3533613241071718 0.9523
35  0.16795721813686762 0.35336132637196455 0.9523
36  0.16795721812852146 0.353361327784931 0.9523
37  0.16795721812330786 0.3533613286666853 0.9523
38  0.1679572181200505 0.35336132921706725 0.9523
39  0.16795721811801514 0.35336132956068145 0.9523
40  0.16795721811674327 0.3533613297752469 0.9523
41  0.16795721811594844 0.35336132990925206 0.9523
42  0.1679572181154517 0.35336132999295655 0.9523
43  0.1679572181151411 0.3533613300452488 0.9523
44  0.16795721811494702 0.3533613300779205 0.9523
45  0.1679572181148257 0.35336133009833604 0.9523
46  0.16795721811474984 0.3533613301110942 0.9523
47  0.16795721811470243 0.35336133011906784 0.9523
48  0.16795721811467276 0.3533613301240518 0.9523
49  0.16795721811465417 0.35336133012716703 0.9523
50  0.1679572181146426 0.3533613301291145 0.9523
51  0.16795721811463535 0.3533613301303321 0.9523
52  0.16795721811463082 0.3533613301310934 0.9523
53  0.16795721811462797 0.353361330131569 0.9523
54  0.16795721811462624 0.3533613301318664 0.9523
55  0.16795721811462513 0.35336133013205234 0.9523
56  0.1679572181146244 0.35336133013216825 0.9523
57  0.16795721811462397 0.35336133013224075 0.9523
58  0.16795721811462372 0.35336133013228593 0.9523
59  0.16795721811462352 0.35336133013231413 0.9523
60  0.1679572181146234 0.3533613301323317 0.9523
61  0.16795721811462339 0.35336133013234267 0.9523
62  0.16795721811462336 0.3533613301323491 0.9523
63  0.1679572181146233 0.3533613301323531 0.9523
64  0.1679572181146233 0.3533613301323555 0.9523
65  0.16795721811462327 0.3533613301323565 0.9523
66  0.16795721811462327 0.3533613301323569 0.9523
67  0.16795721811462327 0.35336133013235654 0.9523
68  0.16795721811462327 0.3533613301323563 0.9523
69  0.16795721811462327 0.3533613301323558 0.9523
70  0.16795721811462327 0.35336133013235577 0.9523
71  0.16795721811462327 0.35336133013235566 0.9523
72  0.16795721811462327 0.3533613301323556 0.9523
73  0.16795721811462327 0.35336133013235554 0.9523
74  0.16795721811462327 0.35336133013235554 0.9523
75  0.16795721811462327 0.35336133013235554 0.9523
76  0.16795721811462327 0.35336133013235554 0.9523
77  0.16795721811462327 0.35336133013235554 0.9523
78  0.16795721811462327 0.35336133013235554 0.9523
79  0.16795721811462327 0.35336133013235554 0.9523
80  0.16795721811462327 0.35336133013235554 0.9523
81  0.16795721811462327 0.35336133013235554 0.9523
82  0.16795721811462327 0.35336133013235554 0.9523
83  0.16795721811462327 0.35336133013235554 0.9523
84  0.16795721811462327 0.35336133013235554 0.9523
85  0.16795721811462327 0.35336133013235554 0.9523
86  0.16795721811462327 0.35336133013235554 0.9523
87  0.16795721811462327 0.35336133013235554 0.9523
88  0.16795721811462327 0.35336133013235554 0.9523
89  0.16795721811462327 0.35336133013235554 0.9523
90  0.16795721811462327 0.35336133013235554 0.9523
91  0.16795721811462327 0.35336133013235554 0.9523
92  0.16795721811462327 0.35336133013235554 0.9523
93  0.16795721811462327 0.35336133013235554 0.9523
94  0.16795721811462327 0.35336133013235554 0.9523
95  0.16795721811462327 0.35336133013235554 0.9523
96  0.16795721811462327 0.35336133013235554 0.9523
97  0.16795721811462327 0.35336133013235554 0.9523
98  0.16795721811462327 0.35336133013235554 0.9523
99  0.16795721811462327 0.35336133013235554 0.9523
