epoch train_loss test_loss  accuracy
0  0.36999324787357185  0.34525710337647275 0.9047
1  0.3108812395775607 0.28147270278859315 0.9176
2  0.2864337502089635 0.25483394205216703 0.9245
3  0.27278712678115696 0.23779430631398304 0.9299
4  0.2640487231560845 0.2252342962847426 0.9321
5  0.2564452196223177 0.21527052864182072 0.9345
6  0.24927962358163122 0.20705110328986628 0.9373
7  0.24257834300683045 0.1998936044195117 0.9391
8  0.2362788409966452 0.19366563772426343 0.9411
9  0.23076481895932432 0.18816996504565442 0.9432
10  0.22617253021895367 0.18330820360280997 0.9447
11  0.22226034458771737 0.1790031136638421 0.9457
12  0.21909548392066222 0.17513018086393475 0.947
13  0.21665419931670682 0.17161015519851053 0.9487
14  0.21494110560725935 0.16842807271816407 0.9502
15  0.21370458286110902 0.1655421023473616 0.9517
16  0.21315400535516063 0.16283849262659397 0.9522
17  0.2128301936560638 0.160370326139095 0.953
18  0.21315848495111708 0.15802454384202158 0.9535
19  0.21338740740909093 0.1558903666896787 0.9545
20  0.21385036639559685 0.1539361994168331 0.955
21  0.21443510552586595 0.1522342041209119 0.9552
22  0.21518466990294835 0.15070930791937143 0.9557
23  0.2157588981975318 0.14930027952849317 0.9562
24  0.2159821470500376 0.14798343088963523 0.9568
25  0.21631036477755453 0.1467443663466876 0.9574
26  0.21644462612600937 0.14565448605610265 0.9579
27  0.21645733486615545 0.14461972277348964 0.9586
28  0.2166707323931876 0.14366771556131838 0.9594
29  0.21658051889409557 0.14281366086378444 0.96
30  0.21658233759123968 0.1420605900972072 0.9601
31  0.21615962317997858 0.14142093664375532 0.9605
32  0.21592192143230834 0.14083492300216532 0.9605
33  0.21553739306463385 0.14033828875456672 0.9605
34  0.21490875608330987 0.13989685925905643 0.9602
35  0.21435075721400024 0.13948999312347818 0.9607
36  0.21343906220027012 0.13915736784924138 0.9606
37  0.21233109531393113 0.13886413006118725 0.9607
38  0.2111671719075341 0.13864740019017924 0.9605
39  0.2100027076765004 0.13848147827008553 0.9604
40  0.2088311147790498 0.13839259279584895 0.9604
41  0.20771083985092087 0.13834993526745873 0.9606
42  0.2063143942666764 0.13830926526592793 0.9609
43  0.20475556790556296 0.13832667279042624 0.9609
44  0.20306293996958835 0.13839497091486377 0.9612
45  0.2015398649397421 0.13850088790404413 0.9612
46  0.20031754291119683 0.13867203635052205 0.9616
47  0.19953895426021695 0.13880543194645753 0.9617
48  0.19929688361550835 0.13891964136049426 0.962
49  0.19941878940144994 0.13897546233135846 0.9621
50  0.199340625113684 0.13902836626437515 0.9628
51  0.19958473547084019 0.13906650727259667 0.9627
52  0.19987277966900244 0.13914654826441245 0.9629
53  0.20041380211412363 0.13918133546323988 0.963
54  0.20100350006119128 0.13922791542305507 0.9624
55  0.20174933288562483 0.1392770374357412 0.9626
56  0.2026438161774544 0.13936500809896815 0.9627
57  0.20374037968991987 0.1394263395885397 0.9627
58  0.20479704844375501 0.1395158000514974 0.9627
59  0.20608697710704463 0.1395810984587939 0.9627
60  0.2072525625147386 0.1397230295711831 0.9632
61  0.20860712018639097 0.13993077816079763 0.9633
62  0.20975415656156138 0.1401794416442302 0.9635
63  0.2109459165581964 0.1404536024090381 0.9634
64  0.21231457521802918 0.1407653680595604 0.9635
65  0.21393661582322984 0.14106686797496248 0.9633
66  0.21547689358662347 0.1413764378961593 0.9638
67  0.2167116781936224 0.14165611237625633 0.9642
68  0.21809231433910425 0.14192469603825741 0.964
69  0.2196326551403487 0.14218864288359745 0.964
70  0.22118391669554804 0.14240338873026814 0.9641
71  0.22269565137290373 0.14266416387762196 0.9641
72  0.22401213440920464 0.14294400637480426 0.9641
73  0.22530002903823684 0.14321978516428566 0.9643
74  0.22647409635334811 0.14345546879290222 0.9641
75  0.22765293033533698 0.1437477488723282 0.9645
76  0.2287363138331748 0.14407289065898643 0.9646
77  0.2302064547421856 0.14441993025923852 0.9644
78  0.23177197692924337 0.14480782556008387 0.9641
79  0.23312809712552077 0.14517256993070468 0.9638
80  0.2344276007592406 0.14554492585213044 0.9633
81  0.2356953847602438 0.1459354181223535 0.9634
82  0.23663713548999335 0.1464074867194847 0.9632
83  0.23792916039099735 0.14690217764190147 0.9633
84  0.23922596280778888 0.14735830651836904 0.9629
85  0.2405925144243064 0.14778712193639043 0.9623
86  0.24190501967605982 0.1481436054716643 0.9621
87  0.24331941166580237 0.14847010315646902 0.9623
88  0.2444118002137848 0.14877774040195804 0.9623
89  0.24564005649144968 0.14908540997201686 0.9624
90  0.24628765753449322 0.14937042300026113 0.9622
91  0.2471908910894176 0.14962213079638123 0.9623
92  0.247786344394867 0.14987381750792375 0.9621
93  0.24837192736984137 0.15006361783503086 0.9626
94  0.24876646810621747 0.1502628184038933 0.9627
95  0.24898701518409835 0.150479427770048 0.9629
96  0.2490660319087509 0.1506991956810607 0.9626
97  0.24897178222575142 0.15094718309958954 0.9624
98  0.24898196190877972 0.15117405583899104 0.9625
99  0.24872501607544326 0.15134875066356884 0.9625
