epoch train_loss test_loss  accuracy
0  0.3154399384451862  1.1588873630235947 0.844
1  0.17922283162186578 0.9391755776598456 0.8904
2  0.18524941679578114 0.6520427899676913 0.9253
3  0.2630809954264023 0.5947529770786859 0.9339
4  0.17609907846694559 0.5744752285265365 0.9376
5  0.20032665774703692 0.5320395659121544 0.9434
6  0.37849415979606005 0.5368946255251452 0.9407
7  0.2304809889065346 0.49229759911195153 0.9489
8  0.20679417130660893 0.5042579071547872 0.948
9  0.16789965661551867 0.500919029334435 0.9471
10  0.1679839325816738 0.5275164713479439 0.948
11  0.16793932760985572 0.48957025069104065 0.9495
12  0.21916672806421186 0.47689836766335103 0.9524
13  0.1678976429771529 0.4529230950976664 0.9549
14  0.19115793268029613 0.48745454087764084 0.9517
15  0.17077512605679365 0.4319238839532771 0.9552
16  0.1678967971407306 0.47818376083548647 0.9538
17  0.16789673815516495 0.46587944820444843 0.9549
18  0.16831952543812476 0.4596751801083587 0.955
19  0.16837739859641912 0.452440166548707 0.9548
20  0.1680822785784375 0.47582066914921206 0.9534
21  0.16789678022075635 0.4378214584207301 0.9571
22  0.16794099303158108 0.4604998882790827 0.9567
23  0.16789677845920292 0.466672609004454 0.9568
24  0.1680185185822346 0.45593918232186026 0.9563
25  0.16792351255765384 0.4567576893883728 0.9578
26  0.16789681252667557 0.4683492906130812 0.9578
27  0.16789674887660158 0.45305485059867634 0.9589
28  0.3550916052339548 0.45862071875461596 0.9573
29  0.18299308802725492 0.4760424265385257 0.9578
30  0.1678967721610367 0.43881457667155255 0.9592
31  0.30027726878694244 0.42987804844051025 0.9609
32  0.1774849540988497 0.4496815294124108 0.9574
33  0.1680252960114675 0.46516931472596945 0.9565
34  0.16789794634761288 0.45865261408884944 0.9573
35  0.4321651079989571 0.4487229308725462 0.9575
36  0.1982232483903498 0.4598542533169435 0.9572
37  0.16789781877809504 0.4880369619450696 0.9562
38  0.21482182754419243 0.4953699228387208 0.9548
39  0.16834527628308513 0.49190399536928364 0.9568
40  0.16790032752219783 0.5001216348490453 0.9561
41  0.16789698347124019 0.4448817354040866 0.9592
42  0.16823426312712106 0.45070563715921663 0.9608
43  0.170758868264699 0.4541737858360679 0.9576
44  0.16997932527359352 0.4380318761947634 0.9608
45  0.16851327316071588 0.470246377603843 0.9581
46  0.16790681153618572 0.4697600385528813 0.9595
47  0.16789709555570342 0.46550896661003915 0.958
48  0.16789985517509406 0.4485470934155688 0.9601
49  0.16790405990443658 0.4495392511189896 0.9593
50  0.16789690052710235 0.47134609114323955 0.9594
51  0.2789805196942428 0.453911184526749 0.9594
52  0.1678999707517377 0.4325366866448219 0.9607
53  0.16789678354329396 0.4430348862403313 0.9606
54  0.16789735077603674 0.48437095729207175 0.9575
55  0.1678969008412227 0.4674937440631372 0.9584
56  0.30115913346485507 0.46653725797511525 0.9587
57  0.16792025743522446 0.42616357707776426 0.9623
58  0.28245549010592863 0.48264021255814343 0.9586
59  0.24120191983122932 0.44692739793609787 0.9611
60  0.22659950439875173 0.4770115287714701 0.9604
61  0.1681147471235129 0.45961850184511566 0.9592
62  0.17045593413759355 0.45211376486472055 0.96
63  0.2523817454419679 0.47611200131535686 0.959
64  0.2817597275725889 0.47179291048196575 0.9577
65  0.2211909104046376 0.4408041647237789 0.9611
66  0.19999673653870717 0.47063540118731945 0.9591
67  0.167963397962148 0.4667000795796138 0.9599
68  0.16789676535345532 0.4569298307665218 0.9609
69  0.1678967311309465 0.46267558762307437 0.9597
70  0.25252000085667875 0.48656449269674684 0.96
71  0.16798006895037432 0.49998350157699234 0.9573
72  0.33579282381595615 0.4825253670967266 0.9597
73  0.1679605444304231 0.5010317870273061 0.9574
74  0.33494150185063387 0.48898697006279007 0.9588
75  0.21070159494979615 0.4782705635778248 0.9602
76  0.16789673291100649 0.47702656453288994 0.9606
77  0.17759378108799254 0.4854004201425135 0.9611
78  0.16789756614032933 0.4814712371230906 0.96
79  0.3356947694197607 0.5008540497758874 0.9584
80  0.1889850927619332 0.4996396433008716 0.9562
81  0.16792007529193687 0.5284126342962177 0.9577
82  0.17637370887167858 0.4640118687170667 0.9596
83  0.19224809971403467 0.48464133768679485 0.9599
84  0.16789992677805934 0.48365507088231763 0.9597
85  0.1678974520072352 0.4580320576818749 0.9619
86  0.1678975147981788 0.4610168854270844 0.9606
87  0.1679124850630885 0.45953997701396093 0.9611
88  0.16802212376556633 0.4717505575061109 0.9615
89  0.167948594311737 0.4664566513962725 0.9603
90  0.17707035453875666 0.4564415656178957 0.962
91  0.30908149103995686 0.47323507234143963 0.9606
92  0.16789673120254256 0.4764133826679163 0.9606
93  0.16891941985343858 0.4687154865896813 0.9601
94  0.17073839865489593 0.47484675613512345 0.9595
95  0.18977421607536374 0.49340396564999756 0.9583
96  0.16800463527482445 0.48509100364039087 0.9594
97  0.16789673083974713 0.4734568427198241 0.9601
98  0.16789676580372026 0.4622413710481114 0.9611
99  0.23430880099372975 0.5016302218680067 0.9593
