epoch train_loss test_loss  accuracy
1.701464056968689  131.4806877374649 0.8353000283241272
1.6340303421020508  128.54304945468903 0.8503999710083008
1.5327463150024414  123.55881488323212 0.921999990940094
1.4889533519744873  121.91981720924377 0.9319000244140625
1.478197693824768  121.2206711769104 0.9387999773025513
1.4723211526870728  120.7377415895462 0.9435999989509583
1.4689313173294067  120.37340199947357 0.9470999836921692
1.4669530391693115  120.09320878982544 0.9490000009536743
1.465620994567871  119.86685383319855 0.9519000053405762
1.4645671844482422  119.67551684379578 0.9538000226020813
1.463698387145996  119.50990664958954 0.9550999999046326
1.4630403518676758  119.3659896850586 0.9563000202178955
1.4625561237335205  119.23958790302277 0.9580000042915344
1.4622142314910889  119.12643957138062 0.9595000147819519
1.4619770050048828  119.02590239048004 0.9599000215530396
1.4618064165115356  118.93809592723846 0.9605000019073486
1.4616806507110596  118.8567351102829 0.9613999724388123
1.4615912437438965  118.77845871448517 0.9623000025749207
1.4615280628204346  118.70502352714539 0.9635000228881836
1.4614825248718262  118.63741743564606 0.9635000228881836
1.4614505767822266  118.5767650604248 0.9646000266075134
1.4614273309707642  118.52380216121674 0.9652000069618225
1.4614098072052002  118.47446644306183 0.9652000069618225
1.4614073038101196  118.42862355709076 0.9660999774932861
1.4614230394363403  118.38751292228699 0.9667999744415283
1.461458444595337  118.34948527812958 0.9667999744415283
1.4615178108215332  118.3148318529129 0.9675999879837036
1.461583137512207  118.2853068113327 0.9679999947547913
1.4616179466247559  118.2585563659668 0.9678000211715698
1.4616315364837646  118.22881937026978 0.9678999781608582
1.4616400003433228  118.20349407196045 0.9681000113487244
1.4616352319717407  118.18058371543884 0.9682999849319458
1.4616036415100098  118.15708351135254 0.968500018119812
1.4615617990493774  118.13325452804565 0.968999981880188
1.4615249633789062  118.10986959934235 0.968999981880188
1.4614819288253784  118.08654296398163 0.9690999984741211
1.4614547491073608  118.06461143493652 0.9693999886512756
1.4614418745040894  118.04607152938843 0.9692000150680542
1.4614332914352417  118.02813255786896 0.9692999720573425
1.461417555809021  118.00831341743469 0.9699000120162964
1.4614007472991943  117.98946392536163 0.9700000286102295
1.4613854885101318  117.9726402759552 0.9702000021934509
1.4613662958145142  117.95810401439667 0.9706000089645386
1.4613391160964966  117.94507205486298 0.970300018787384
1.4613319635391235  117.93358314037323 0.970300018787384
1.4613089561462402  117.92429256439209 0.970300018787384
1.4612915515899658  117.9245890378952 0.9703999757766724
1.4612797498703003  117.92307388782501 0.9707000255584717
1.461256980895996  117.92209100723267 0.9700000286102295
1.4612383842468262  117.90876567363739 0.9707000255584717
1.4612241983413696  117.89514648914337 0.97079998254776
1.461223840713501  117.88517308235168 0.97079998254776
1.4612139463424683  117.87379252910614 0.9708999991416931
1.4612098932266235  117.86682641506195 0.97079998254776
1.4612027406692505  117.85424077510834 0.97079998254776
1.461195945739746  117.84156858921051 0.9707000255584717
1.4611945152282715  117.83833014965057 0.970300018787384
1.461188554763794  117.8306987285614 0.9702000021934509
1.4611784219741821  117.82887649536133 0.9703999757766724
1.4611746072769165  117.82078456878662 0.9702000021934509
1.4611716270446777  117.81012153625488 0.9707000255584717
1.4611698389053345  117.80029106140137 0.970300018787384
1.461167335510254  117.79334735870361 0.9707000255584717
1.4611719846725464  117.78406572341919 0.9717000126838684
1.461177110671997  117.78257060050964 0.9722999930381775
1.4611831903457642  117.79316771030426 0.9708999991416931
1.4612007141113281  117.79497945308685 0.97079998254776
1.4612318277359009  117.80869138240814 0.9710000157356262
1.461185097694397  117.82911837100983 0.9704999923706055
1.4612058401107788  117.81524932384491 0.9706000089645386
1.4611706733703613  117.81718158721924 0.9702000021934509
1.4611703157424927  117.79917860031128 0.970300018787384
1.461169958114624  117.79130029678345 0.9707000255584717
1.4611639976501465  117.81020557880402 0.9699000120162964
1.4611777067184448  117.80453383922577 0.9702000021934509
1.4611937999725342  117.80600464344025 0.9706000089645386
1.4611927270889282  117.80115509033203 0.9703999757766724
1.461196780204773  117.78188514709473 0.9704999923706055
1.4612140655517578  117.78949129581451 0.9708999991416931
1.461188793182373  117.7964859008789 0.9704999923706055
1.4611802101135254  117.78764390945435 0.9707000255584717
1.4611763954162598  117.79064953327179 0.9703999757766724
1.4611765146255493  117.811891913414 0.9696999788284302
1.4611753225326538  117.77884757518768 0.9706000089645386
1.4611843824386597  117.78027057647705 0.9704999923706055
1.4611800909042358  117.79209291934967 0.970300018787384
1.4611735343933105  117.7939258813858 0.9697999954223633
1.4611722230911255  117.76601600646973 0.9707000255584717
1.4611706733703613  117.78072428703308 0.970300018787384
1.4611982107162476  117.77747881412506 0.97079998254776
1.4611765146255493  117.80259227752686 0.9702000021934509
1.4612014293670654  117.77235198020935 0.9704999923706055
1.4611966609954834  117.80479788780212 0.9704999923706055
1.4612135887145996  117.77750253677368 0.970300018787384
1.4612163305282593  117.77521598339081 0.97079998254776
1.4611836671829224  117.77414453029633 0.9704999923706055
1.4611941576004028  117.78466165065765 0.9702000021934509
1.4611972570419312  117.74044704437256 0.9707000255584717
1.461182713508606  117.83075141906738 0.9695000052452087
1.461167335510254  117.8260703086853 0.9702000021934509
