epoch train_loss test_loss  accuracy
2.300992965698242  181.67206859588623 0.11349999904632568
2.2965455055236816  181.3362865447998 0.12460000067949295
2.291531562805176  180.96551990509033 0.1378999948501587
2.2857470512390137  180.53985905647278 0.2071000039577484
2.278869152069092  180.030668258667 0.3562999963760376
2.2703661918640137  179.39319920539856 0.3508000075817108
2.259389638900757  178.56053042411804 0.30300000309944153
2.244929313659668  177.46185731887817 0.274399995803833
2.2268478870391846  176.09403681755066 0.2660999894142151
2.2066702842712402  174.55797958374023 0.2867000102996826
2.186039447784424  172.9492154121399 0.32519999146461487
2.166011333465576  171.30766820907593 0.35260000824928284
2.1470699310302734  169.67602467536926 0.3684999942779541
2.12894868850708  168.105318069458 0.38260000944137573
2.1108312606811523  166.6058065891266 0.4099000096321106
2.091731071472168  165.1458077430725 0.44110000133514404
2.0723395347595215  163.73734402656555 0.4609000086784363
2.053936243057251  162.41384148597717 0.4702000021934509
2.035621404647827  161.15021061897278 0.4880000054836273
2.015533924102783  159.89870154857635 0.5242000222206116
1.993747353553772  158.66385579109192 0.5450999736785889
1.972701072692871  157.48712587356567 0.5514000058174133
1.9536468982696533  156.3795963525772 0.5552999973297119
1.936657190322876  155.32526469230652 0.5580999851226807
1.9215604066848755  154.28884041309357 0.5734000205993652
1.9083331823349  153.2600064277649 0.6019999980926514
1.8969066143035889  152.29128432273865 0.625
1.8868281841278076  151.41545701026917 0.6371999979019165
1.8778964281082153  150.62781858444214 0.6428999900817871
1.8700618743896484  149.92098593711853 0.6471999883651733
1.8632276058197021  149.28815305233002 0.6504999995231628
1.8572722673416138  148.72215270996094 0.6523000001907349
1.8520801067352295  148.21573269367218 0.6539999842643738
1.8475474119186401  147.76195085048676 0.6553000211715698
1.8435832262039185  147.35442578792572 0.656499981880188
1.8401092290878296  146.9874187707901 0.6571000218391418
1.8370569944381714  146.65586113929749 0.6582000255584717
1.8343671560287476  146.35531902313232 0.6592000126838684
1.8319895267486572  146.08194386959076 0.6600000262260437
1.829880714416504  145.8324055671692 0.6608999967575073
1.8280036449432373  145.60383129119873 0.6614999771118164
1.8263264894485474  145.3937373161316 0.6620000004768372
1.8248227834701538  145.19998836517334 0.6620000004768372
1.823468804359436  145.02072846889496 0.6624000072479248
1.8222451210021973  144.854354262352 0.6628999710083008
1.8211352825164795  144.69947171211243 0.6632999777793884
1.8201241493225098  144.55486345291138 0.6636000275611877
1.8191999197006226  144.41946160793304 0.6640999913215637
1.8183513879776  144.29232585430145 0.664900004863739
1.8175694942474365  144.17262625694275 0.6657000184059143
1.8168455362319946  144.05961751937866 0.666100025177002
1.816172480583191  143.952632188797 0.6662999987602234
1.8155438899993896  143.8510626554489 0.6664999723434448
1.8149538040161133  143.75434911251068 0.6668000221252441
1.8143967390060425  143.66196167469025 0.6671000123023987
1.8138673305511475  143.57339441776276 0.6675999760627747
1.813360571861267  143.48813831806183 0.6685000061988831
1.8128702640533447  143.40566766262054 0.6686000227928162
1.8123904466629028  143.3254052400589 0.6690999865531921
1.811914324760437  143.2466700077057 0.6693999767303467
1.811431646347046  143.1686155796051 0.6696000099182129
1.810929775238037  143.0900777578354 0.6700999736785889
1.810388445854187  143.00933825969696 0.6700999736785889
1.809775471687317  142.92363321781158 0.6700999736785889
1.8090333938598633  142.8281228542328 0.6703000068664551
1.8080506324768066  142.7135648727417 0.6707000136375427
1.8065838813781738  142.5610032081604 0.6708999872207642
1.8040670156478882  142.33250427246094 0.6708999872207642
1.7994234561920166  141.98526322841644 0.6789000034332275
1.7928054332733154  141.59814500808716 0.699400007724762
1.7875317335128784  141.2987357378006 0.7156000137329102
1.7842366695404053  141.04263031482697 0.723800003528595
1.781649112701416  140.79569625854492 0.7282999753952026
1.7791953086853027  140.55352914333344 0.7318000197410583
1.776746153831482  140.31641232967377 0.7348999977111816
1.7742838859558105  140.0850007534027 0.7372999787330627
1.7718122005462646  139.85987627506256 0.7398999929428101
1.7693381309509277  139.641499042511 0.7415000200271606
1.7668720483779907  139.43019008636475 0.7441999912261963
1.7644274234771729  139.22612583637238 0.7462999820709229
1.7620189189910889  139.02930438518524 0.7472000122070312
1.7596633434295654  138.83952414989471 0.7476999759674072
1.757379174232483  138.6563160419464 0.7491999864578247
1.7551863193511963  138.47884738445282 0.7498999834060669
1.753109097480774  138.3057472705841 0.7506999969482422
1.7511792182922363  138.13471293449402 0.7516000270843506
1.7494423389434814  137.96170723438263 0.7520999908447266
1.7479748725891113  137.7790629863739 0.7523000240325928
1.74691903591156  137.5708703994751 0.753600001335144
1.746558427810669  137.3018867969513 0.7574999928474426
1.7473955154418945  136.90532958507538 0.7688000202178955
1.749457597732544  136.37760317325592 0.7849000096321106
1.75040602684021  135.93984806537628 0.8025000095367432
1.7488269805908203  135.61920511722565 0.8087000250816345
1.7459721565246582  135.33223915100098 0.8115000128746033
1.7427490949630737  135.06171107292175 0.8134999871253967
1.7394603490829468  134.80550158023834 0.8154000043869019
1.7362051010131836  134.5628411769867 0.8174999952316284
1.7330232858657837  134.33306741714478 0.819100022315979
1.7299343347549438  134.11552047729492 0.8199999928474426
