,adam,gradient_descend,ada_grad,momentum,Nesterov,rms_prop
0,[-7.  2.],[0. 0.],[0. 0.],[0. 0.],[0. 0.],[0. 0.]
1,[-7.  2.],[-7.  2.],[-7.  2.],[-7.  2.],[-7.  2.],[-7.  2.]
2,[-6.00000014  1.00000003],[-6.9993  1.996 ],[-6.98276197  1.90149695],[-6.9993  1.996 ],[-6.9993  1.996 ],[-6.99454886  1.9688506 ]
3,[-5.03184713  0.0911965 ],[-6.99860007  1.992008  ],[-6.97030869  1.83367318],[-6.99853007  1.991608  ],[-6.99860007  1.992008  ],[-6.99056565  1.94642647]
4,[-4.10003428 -0.61821691],[-6.99790021  1.98802398],[-6.95996107  1.77923037],[-6.99775322  1.98718558],[-6.99790021  1.98802398],[-6.98720988  1.92773913]
5,[-3.21002068 -1.02097687],[-6.99720042  1.98404794],[-6.9508631   1.73271461],[-6.99697576  1.98276897],[-6.99720042  1.98404794],[-6.98421438  1.9112102 ]
6,[-2.36826078 -1.12589651],[-6.9965007   1.98007984],[-6.94261481  1.69159189],[-6.99619832  1.97836177],[-6.9965007   1.98007984],[-6.98145506  1.89610859]
7,[-1.58210664 -1.01884333],[-6.99580105  1.97611968],[-6.93499168  1.65444386],[-6.99542096  1.97396433],[-6.99580105  1.97611968],[-6.97886271  1.88202737]
8,[-0.85951362 -0.78192369],[-6.99510147  1.97216744],[-6.92785292  1.62038273],[-6.99464368  1.96957666],[-6.99510147  1.97216744],[-6.97639424  1.86871364]
9,[-0.20849878 -0.4771694 ],[-6.99440196  1.96822311],[-6.92110343  1.58880945],[-6.99386649  1.96519874],[-6.99440196  1.96822311],[-6.97402071  1.8559981 ]
10,[ 0.36363786 -0.15328775],[-6.99370252  1.96428666],[-6.91467545  1.55929728],[-6.99308938  1.96083055],[-6.99370252  1.96428666],[-6.97172168  1.84376124]
11,[0.85121671 0.14864248],[-6.99300315  1.96035809],[-6.90851867  1.53152952],[-6.99231236  1.95647207],[-6.99300315  1.96035809],[-6.96948204  1.83191524]
12,[1.25099665 0.39485233],[-6.99230385  1.95643737],[-6.90259455  1.50526351],[-6.99153543  1.95212327],[-6.99230385  1.95643737],[-6.96729034  1.82039352]
13,[1.56267561 0.56257058],[-6.99160462  1.9525245 ],[-6.8968728  1.4803084],[-6.99075858  1.94778415],[-6.99160462  1.9525245 ],[-6.96513761  1.80914433]
14,[1.78893423 0.64322088],[-6.99090546  1.94861945],[-6.89132908  1.4565109 ],[-6.98998182  1.94345467],[-6.99090546  1.94861945],[-6.96301672  1.79812662]
15,[1.93504662 0.64141433],[-6.99020637  1.94472221],[-6.88594352  1.4337457 ],[-6.98920515  1.93913481],[-6.99020637  1.94472221],[-6.96092189  1.78730727]
16,[2.00821857 0.57061534],[-6.98950735  1.94083276],[-6.88069963  1.41190873],[-6.98842856  1.93482455],[-6.98950735  1.94083276],[-6.95884837  1.77665919]
17,[2.01685375 0.44866699],[-6.9888084  1.9369511],[-6.87558355  1.39091251],[-6.98765206  1.93052388],[-6.9888084  1.9369511],[-6.95679218  1.76615992]
18,[1.96990244 0.29485001],[-6.98810952  1.9330772 ],[-6.87058351  1.3706826 ],[-6.98687564  1.92623276],[-6.98810952  1.9330772 ],[-6.95475     1.75579072]
19,[1.87636717 0.12826925],[-6.9874107   1.92921104],[-6.86568939  1.35115507],[-6.98609931  1.92195119],[-6.9874107   1.92921104],[-6.95271898  1.74553573]
20,[ 1.74497336 -0.03323366],[-6.98671196  1.92535262],[-6.86089246  1.33227452],[-6.98532307  1.91767913],[-6.98671196  1.92535262],[-6.95069669  1.73538149]
